TITLE,LOCATION,SECTION,RUNNINGCOUNT,TEXT
PVBLICVS/2,232,1,232,publicus
SECVNDVS/1,233,1,233,secundus
EQVVS,234,1,234,equus
REDEO/1,235,1,235,redeo
NVMQVAM,236,1,236,numquam
FVGIO,237,1,237,fugio
ORBIS,238,1,238,orbis
QVISQVIS/2,239,1,239,quisquis
GRATIA,240,1,240,gratia
ITAQVE,241,1,241,itaque
QVASI/1,242,1,242,quasi
REGNVM,243,1,243,regnum
RELINQVO,244,1,244,relinquo
MISER,245,1,245,miser
DVX,246,1,246,dux
FORTVNA,247,1,247,fortuna
IGITVR,248,1,248,igitur
SIMVL/1,249,1,249,simul
BENE,250,1,250,bene
LEX,251,1,251,lex
LITTERA,252,1,252,littera
RESPONDEO,253,1,253,respondeo
AVRVM,254,1,254,aurum
CANO,255,1,255,cano
GERO,256,1,256,gero
VNDE/1,257,1,257,unde
FATVM,258,1,258,fatum
HONOR,259,1,259,honos
MVNVS,260,1,260,munus
QVISQVAM,261,1,261,quisquam
SOLEO,262,1,262,soleo
TRES,263,1,263,tres
APVD,264,1,264,apud
CIVITAS,265,1,265,civitas
FIDES/2,266,1,266,"fides, -ei"
LAVS,267,1,267,laus
PATRIA,268,1,268,patria
AETAS,269,1,269,aetas
INGENIVM,270,1,270,ingenium
MONS,271,1,271,mons
FINIS,272,1,272,finis
PARENS/1,273,1,273,parens
ITER,274,1,274,iter
QVICVMQVE/1,275,1,275,quicumque
RATIO,276,1,276,ratio
REDDO,277,1,277,reddo
NOSCO,278,1,278,nosco
SIGNVM,279,1,279,signum
ASSVM/1,280,1,280,adsum
DEINDE,281,1,281,deinde
FERVS/2,282,1,282,ferus
ANIMA,283,1,283,anima
LICET/1,284,1,284,licet
ORIOR,285,1,285,orior
INDE,286,1,286,inde
MELIOR,287,1,287,melior
MEREO,288,1,288,mereo
TIMEO,289,1,289,timeo
CAESAR/N,290,1,290,Caesar
VLLVS,291,1,291,ullus
PLENVS,292,1,292,plenus
VSQVE,293,1,293,usque
VTERQVE,294,1,294,uterque
DIGNVS,295,1,295,dignus
PLACEO,296,1,296,placeo
SIVE/1,297,1,297,seu
CASTRA/2,298,1,298,castra
FLEO,299,1,299,fleo
LEVIS/1,300,1,300,levis
MVNDVS/1,301,2,301,"mundus, n."
PARO/2,302,2,302,paro
PRIOR,303,2,303,prior
PROPTER/2,304,2,304,propter
BIBO/2,305,2,305,bibo
HORA,306,2,306,hora
RAPIO,307,2,307,rapio
SOLVO,308,2,308,solvo
COGNOSCO,309,2,309,cognosco
MAGISTER,310,2,310,magister
AN,311,2,311,an
LVMEN,312,2,312,lumen
SOMNVS,313,2,313,somnus
VXOR,314,2,314,uxor
ORDO,315,2,315,ordo
CADO,316,2,316,cado
COR,317,2,317,cor
MORIOR,318,2,318,morior
TRISTIS,319,2,319,tristis
VENVS/N,320,2,320,Venus
ADEO/1,321,2,321,"adeo, v."
DVRVS,322,2,322,durus
FILIA,323,2,323,filia
PARVVS/2,324,2,324,parvus
PRAECIPIO,325,2,325,praecipio
QVALIS/1,326,2,326,qualis
VOTVM,327,2,327,votum
CONTRA/2,328,2,328,contra
FLVMEN,329,2,329,flumen
HINC,330,2,330,hinc
IVPPITER/N,331,2,331,Iuppiter
SVRGO,332,2,332,surgo
DISCO,333,2,333,disco
DIV,334,2,334,diu
LACRIMA,335,2,335,lacrima
LVX,336,2,336,lux
NEMO,337,2,337,nemo
PATIOR,338,2,338,patior
PERICVLVM,339,2,339,periculum
SILVA,340,2,340,silva
VNDA,341,2,341,unda
VENTVS,342,2,342,ventus
VIRGO,343,2,343,virgo
BEATVS,344,2,344,beatus
CEDO/1,345,2,345,cedo
DIVVS/2,346,2,346,divus
DOLOR,347,2,347,dolor
FELIX,348,2,348,felix
MIROR,349,2,349,miror
VMBRA,350,2,350,umbra
FLOS,351,2,351,flos
MILLE,352,2,352,mille
PIVS,353,2,353,pius
TRADO,354,2,354,trado
GAVDEO,355,2,355,gaudeo
GLORIA,356,2,356,gloria
LIBER/2,357,2,357,"liber, adj."
POTIS,358,2,358,potis
PROPRIVS,359,2,359,proprius
SOCIVS/2,360,2,360,socius
SPES,361,2,361,spes
VVLTVS,362,2,362,vultus
COLO/2,363,2,363,colo
FACILIS,364,2,364,facilis
NOTVS/2,365,2,365,notus
EXERCITVS/1,366,2,366,exercitus
SERVVS/1,367,2,367,servus
CARVS,368,2,368,carus
CLARVS,369,2,369,clarus
NOLO,370,2,370,nolo
SIMILIS,371,2,371,similis
EQVES,372,2,372,eques
IMPERIVM,373,2,373,imperium
IVS/1,374,2,374,ius
VIVVS/2,375,2,375,vivus
ACIES,376,2,376,acies
NVMERVS,377,2,377,numerus
PRINCEPS/1,378,2,378,princeps
PROXIMVS/2,379,2,379,proximus
IACEO,380,2,380,iaceo
OPS,381,2,381,ops
PEREO/1,382,2,382,pereo
SANGVIS,383,2,383,sanguis
SIDVS,384,2,384,sidus
VARIVS,385,2,385,varius
CHRISTVS/N,386,2,386,Christus
FLAMMA,387,2,387,flamma
LINGVA,388,2,388,lingua
RECIPIO,389,2,389,recipio
TERTIVS,390,2,390,tertius
TOLLO,391,2,391,tollo
TVRBA,392,2,392,turba
AETERNVS,393,2,393,aeternus
HVMANVS,394,2,394,humanus
NOBILIS/2,395,2,395,nobilis
VERSVS/1,396,2,396,"versus, n."
CONVENIO,397,2,397,convenio
DILIGO/3,398,2,398,diligo
LAETVS/2,399,2,399,laetus
MINVS,400,2,400,minus
NESCIO,401,2,401,nescio
PREMO,402,2,402,premo
PROELIVM,403,2,403,proelium
SAECVLVM,404,2,404,saeculum
VIX,405,2,405,vix
FAMA,406,2,406,fama
SENTIO,407,2,407,sentio
SERMO,408,2,408,sermo
ADVERSVS/1,409,2,409,adversus
AVREVS/2,410,2,410,aureus
COPIA,411,2,411,copia
MOX,412,2,412,mox
MVLIER,413,2,413,mulier
OCCIDO/2,414,2,414,occido (long i)
VOS,415,2,415,vobis
ARBOR,416,2,416,arbor
AVDEO,417,2,417,audeo
COMES,418,2,418,comes
DECVS,419,2,419,decus
TENER,420,2,420,tener
TRAHO,421,2,421,traho
CAMPVS/1,422,2,422,campus
CASVS,423,2,423,casus
CONDO,424,2,424,condo
ECCE,425,2,425,ecce
LATVS/2,426,2,426,"latus, adj."
MONACHVS,427,2,427,monachus
PAX,428,2,428,pax
POSTQVAM,429,2,429,postquam
SERVO,430,2,430,servo
FORMA,431,2,431,forma
IMPERATOR,432,2,432,imperator
LIBER/1,433,2,433,"liber, n."
PERVENIO,434,2,434,pervenio
PLVRIMVS,435,2,435,plurimus
QVONIAM,436,2,436,quoniam
REPERIO,437,2,437,reperio
ROMA/N,438,2,438,Roma
VSVS,439,2,439,usus
VERTO,440,2,440,verto
ABEO/1,441,2,441,abeo
ADHVC,442,2,442,adhuc
DIVERSVS,443,2,443,diversus
PAVCI,444,2,444,paucus
PERDO,445,2,445,perdo
REGO,446,2,446,rego
AGER,447,2,447,ager
SALVS,448,2,448,salus
APERIO,449,2,449,aperio
CIVIS,450,2,450,civis
CONTINGO/1,451,2,451,contingo
INFERVS,452,2,452,inferus
PERMITTO,453,2,453,permitto
PRAESTO/1,454,2,454,"praesto, v."
VATES,455,2,455,vates
SIVE/1,457,2,457,sive
VTOR,458,2,458,utor
VETVS,459,2,459,vetus
BREVIS,460,2,460,brevis
COGO,461,2,461,cogo
ECCLESIA,462,2,462,ecclesia
PAR/2,463,2,463,par
PROPE/2,464,2,464,prope
QVAMVIS/1,465,2,465,quamvis
ROGO,466,2,466,rogo
SEDEO,467,2,467,sedeo
ELIGO/3,468,2,468,eligo
INCIPIO,469,2,469,incipio
ITERVM,470,2,470,iterum
MARITVS/2,471,2,471,maritus
SINGVLVS,472,2,472,singulus
STATIM,473,2,473,statim
TRANSEO/1,474,2,474,transeo
ACCEDO/1,475,2,475,accedo
AVFERO,476,2,476,aufero
CERNO,477,2,477,cerno
CONSVL,478,2,478,consul
CVPIO,479,2,479,cupio
GRATVS,480,2,480,gratus
HVC,481,2,481,huc
IVVO,482,2,482,iuvo
MANEO,483,2,483,maneo
MORTALIS/2,484,2,484,mortalis
NAMQVE,485,2,485,namque
PAVPER,486,2,486,pauper
POENA,487,2,487,poena
PVLCHER,488,2,488,pulcher
TANDEM,489,2,489,tandem
COMA,490,2,490,coma
CVR/1,491,2,491,cur
DEXTER,492,2,492,dexter
METVS,493,2,493,metus
NIGER,494,2,494,niger
OSTENDO,495,2,495,ostendo
QVANDO/1,496,2,496,quando
RELIQVVS,497,2,497,reliquus
SAEVVS,498,2,498,saevus
SEDES,499,2,499,sedes
CANTO,500,2,500,canto
DESERO/2,501,2,501,desero
IRA,502,2,502,ira
MEMBRVM,503,2,503,membrum
NIMIVS,504,2,504,nimius
NVMEN,505,2,505,numen
ABBAS,506,2,506,abbas
AMNIS,507,2,507,amnis
CONIVX,508,2,508,coniunx
CONTINEO,509,2,509,contineo
INGENS,510,2,510,ingens
