"new_path","path","numchild","subsection_level","subsection_id","least_mindiv","book_id","new_least_mindiv","new_subsection_id"
"004W00010002000J","00DE00010002000J",0,3,"19",96,172,,19
"004W00010002000K","00DE00010002000K",0,3,"20",97,172,,20
"004W00010002000L","00DE00010002000L",0,3,"21",98,172,,21
"004W00010002000M","00DE00010002000M",0,3,"22",99,172,,22
"004W00010002000N","00DE00010002000N",0,3,"23",100,172,,23
"004W00010002000O","00DE00010002000O",0,3,"24",101,172,,24
"004W00010002000P","00DE00010002000P",0,3,"25",102,172,,25
"004W00010002000Q","00DE00010002000Q",0,3,"27",103,172,,27
"004W00010002000R","00DE00010002000R",0,3,"28",104,172,,28
"004W00010002000S","00DE00010002000S",0,3,"29",105,172,,29
"004W00010002000T","00DE00010002000T",0,3,"30",106,172,,30
"004W00010002000U","00DE00010002000U",0,3,"31",107,172,,31
"004W00010002000V","00DE00010002000V",0,3,"32",108,172,,32
"004W00010002000W","00DE00010002000W",0,3,"33",109,172,,33
"004W00010002000X","00DE00010002000X",0,3,"34",110,172,,34
"004W00010002000Y","00DE00010002000Y",0,3,"35",111,172,,35
"004W00010002000Z","00DE00010002000Z",0,3,"36",112,172,,36
"004W000100020010","00DE000100020010",0,3,"37",113,172,,37
"004W000100020011","00DE000100020011",0,3,"38",114,172,,38
"004W000100020012","00DE000100020012",0,3,"39",115,172,,39
"004W000100020013","00DE000100020013",0,3,"40",116,172,,40
"004W000100020014","00DE000100020014",0,3,"41",117,172,,41
"004W000100020015","00DE000100020015",0,3,"42",118,172,,42
"004W000100020016","00DE000100020016",0,3,"43",119,172,,43
"004W000100020017","00DE000100020017",0,3,"44",120,172,,44
"004W000100020018","00DE000100020018",0,3,"45",121,172,,45
"004W000100020019","00DE000100020019",0,3,"46",122,172,,46
"004W00010002001A","00DE00010002001A",0,3,"47",123,172,,47
"004W00010002001B","00DE00010002001B",0,3,"48",124,172,,48
"004W00010002001C","00DE00010002001C",0,3,"49",125,172,,49
"004W00010002001D","00DE00010002001D",0,3,"50",126,172,,50
"004W00010002001E","00DE00010002001E",0,3,"51",127,172,,51
"004W00010002001F","00DE00010002001F",0,3,"52",128,172,,52
"004W00010002001G","00DE00010002001G",0,3,"53",129,172,,53
"004W00010002001H","00DE00010002001H",0,3,"54",130,172,,54
"004W00010002001I","00DE00010002001I",0,3,"55",131,172,,55
"004W00010002001J","00DE00010002001J",0,3,"56",132,172,,56
"004W00010002001K","00DE00010002001K",0,3,"57",133,172,,57
"004W00010002001L","00DE00010002001L",0,3,"58",134,172,,58
"004W00010002001M","00DE00010002001M",0,3,"59",135,172,,59
"004W00010002001N","00DE00010002001N",0,3,"60",136,172,,60
"004W00010002001O","00DE00010002001O",0,3,"61",137,172,,61
"004W00010002001P","00DE00010002001P",0,3,"62",138,172,,62
"004W00010002001Q","00DE00010002001Q",0,3,"63",139,172,,63
"004W00010002001R","00DE00010002001R",0,3,"64",140,172,,64
"004W00010002001S","00DE00010002001S",0,3,"65",141,172,,65
"004W00010002001T","00DE00010002001T",0,3,"66",142,172,,66
"004W00010002001U","00DE00010002001U",0,3,"67",143,172,,67
"004W00010002001V","00DE00010002001V",0,3,"68",144,172,,68
"004W00010002001W","00DE00010002001W",0,3,"69",145,172,,69
"004W00010002001X","00DE00010002001X",0,3,"70",146,172,,70
"004W00010002001Y","00DE00010002001Y",0,3,"71",147,172,,71
"004W00010002001Z","00DE00010002001Z",0,3,"72",148,172,,72
"004W000100020020","00DE000100020020",0,3,"73",149,172,,73
"004W000100020021","00DE000100020021",0,3,"74",150,172,,74
"004W000100020022","00DE000100020022",0,3,"75",151,172,,75
"004W000100020023","00DE000100020023",0,3,"76",152,172,,76
"004W000100020024","00DE000100020024",0,3,"77",153,172,,77
"004W000100020025","00DE000100020025",0,3,"78",154,172,,78
"004W000100020026","00DE000100020026",0,3,"79",155,172,,79
"004W000100020027","00DE000100020027",0,3,"80",156,172,,80
"004W000100020028","00DE000100020028",0,3,"81",157,172,,81
"004W000100020029","00DE000100020029",0,3,"82",158,172,,82
"004W00010002002A","00DE00010002002A",0,3,"83",159,172,,83
"004W00010002002B","00DE00010002002B",0,3,"84",160,172,,84
"004W00010002002C","00DE00010002002C",0,3,"85",161,172,,85
"004W00010002002D","00DE00010002002D",0,3,"86",162,172,,86
"004W00010002002E","00DE00010002002E",0,3,"87",163,172,,87
"004W00010002002F","00DE00010002002F",0,3,"88",164,172,,88
"004W00010002002G","00DE00010002002G",0,3,"89",165,172,,89
"004W00010002002H","00DE00010002002H",0,3,"90",166,172,,90
"004W00010002002I","00DE00010002002I",0,3,"91",167,172,,91
"004W00010002002J","00DE00010002002J",0,3,"92",168,172,,92
"004W00010002002K","00DE00010002002K",0,3,"93",169,172,,93
"004W00010002002L","00DE00010002002L",0,3,"94",170,172,,94
"004W00010002002M","00DE00010002002M",0,3,"95",171,172,,95
"004W00010002002N","00DE00010002002N",0,3,"96",172,172,,96
"004W00010002002O","00DE00010002002O",0,3,"97",173,172,,97
"004W00010002002P","00DE00010002002P",0,3,"98",174,172,,98
"004W00010002002Q","00DE00010002002Q",0,3,"99",175,172,,99
"004W00010002002R","00DE00010002002R",0,3,"100",176,172,,100
"004W00010003","00DE00010003",94,2,"3",177,172,,3
"004W000100030001","00DE000100030001",0,3,"1",177,172,,1
"004W000100030002","00DE000100030002",0,3,"2",178,172,,2
"004W000100030003","00DE000100030003",0,3,"3",179,172,,3
"004W000100030004","00DE000100030004",0,3,"4",180,172,,4
"004W000100030005","00DE000100030005",0,3,"5",181,172,,5
"004W000100030006","00DE000100030006",0,3,"6",182,172,,6
"004W000100030007","00DE000100030007",0,3,"7",183,172,,7
"004W000100030008","00DE000100030008",0,3,"8",184,172,,8
"004W000100030009","00DE000100030009",0,3,"9",185,172,,9
"004W00010003000A","00DE00010003000A",0,3,"10",186,172,,10
"004W00010003000B","00DE00010003000B",0,3,"11",187,172,,11
"004W00010003000C","00DE00010003000C",0,3,"12",188,172,,12
"004W00010003000D","00DE00010003000D",0,3,"13",189,172,,13
"004W00010003000E","00DE00010003000E",0,3,"14",190,172,,14
"004W00010003000F","00DE00010003000F",0,3,"15",191,172,,15
"004W00010003000G","00DE00010003000G",0,3,"16",192,172,,16
"004W00010003000H","00DE00010003000H",0,3,"17",193,172,,17
"004W00010003000I","00DE00010003000I",0,3,"18",194,172,,18
"004W00010003000J","00DE00010003000J",0,3,"19",195,172,,19
"004W00010003000K","00DE00010003000K",0,3,"20",196,172,,20
"004W00010003000L","00DE00010003000L",0,3,"21",197,172,,21
"004W00010003000M","00DE00010003000M",0,3,"22",198,172,,22
"004W00010003000N","00DE00010003000N",0,3,"23",199,172,,23
"004W00010003000O","00DE00010003000O",0,3,"24",200,172,,24
"004W00010003000P","00DE00010003000P",0,3,"25",201,172,,25
"004W00010003000Q","00DE00010003000Q",0,3,"26",202,172,,26
"004W00010003000R","00DE00010003000R",0,3,"27",203,172,,27
"004W00010003000S","00DE00010003000S",0,3,"28",204,172,,28
"004W00010003000T","00DE00010003000T",0,3,"29",205,172,,29
"004W00010003000U","00DE00010003000U",0,3,"30",206,172,,30
"004W00010003000V","00DE00010003000V",0,3,"31",207,172,,31
"004W00010003000W","00DE00010003000W",0,3,"32",208,172,,32
"004W00010003000X","00DE00010003000X",0,3,"33",209,172,,33
"004W00010003000Y","00DE00010003000Y",0,3,"34",210,172,,34
"004W00010003000Z","00DE00010003000Z",0,3,"35",211,172,,35
"004W000100030010","00DE000100030010",0,3,"36",212,172,,36
"004W000100030011","00DE000100030011",0,3,"37",213,172,,37
"004W000100030012","00DE000100030012",0,3,"38",214,172,,38
"004W000100030013","00DE000100030013",0,3,"39",215,172,,39
"004W000100030014","00DE000100030014",0,3,"40",216,172,,40
"004W000100030015","00DE000100030015",0,3,"41",217,172,,41
"004W000100030016","00DE000100030016",0,3,"42",218,172,,42
"004W000100030017","00DE000100030017",0,3,"43",219,172,,43
"004W000100030018","00DE000100030018",0,3,"44",220,172,,44
"004W000100030019","00DE000100030019",0,3,"45",221,172,,45
"004W00010003001A","00DE00010003001A",0,3,"46",222,172,,46
"004W00010003001B","00DE00010003001B",0,3,"47",223,172,,47
"004W00010003001C","00DE00010003001C",0,3,"48",224,172,,48
"004W00010003001D","00DE00010003001D",0,3,"49",225,172,,49
"004W00010003001E","00DE00010003001E",0,3,"50",226,172,,50
"004W00010003001F","00DE00010003001F",0,3,"51",227,172,,51
"004W00010003001G","00DE00010003001G",0,3,"52",228,172,,52
"004W00010003001H","00DE00010003001H",0,3,"53",229,172,,53
"004W00010003001I","00DE00010003001I",0,3,"54",230,172,,54
"004W00010003001J","00DE00010003001J",0,3,"55",231,172,,55
"004W00010003001K","00DE00010003001K",0,3,"56",232,172,,56
"004W00010003001L","00DE00010003001L",0,3,"57",233,172,,57
"004W00010003001M","00DE00010003001M",0,3,"58",234,172,,58
"004W00010003001N","00DE00010003001N",0,3,"59",235,172,,59
"004W00010003001O","00DE00010003001O",0,3,"60",236,172,,60
"004W00010003001P","00DE00010003001P",0,3,"61",237,172,,61
"004W00010003001Q","00DE00010003001Q",0,3,"62",238,172,,62
"004W00010003001R","00DE00010003001R",0,3,"63",239,172,,63
"004W00010003001S","00DE00010003001S",0,3,"64",240,172,,64
"004W00010003001T","00DE00010003001T",0,3,"65",241,172,,65
"004W00010003001U","00DE00010003001U",0,3,"66",242,172,,66
"004W00010003001V","00DE00010003001V",0,3,"67",243,172,,67
"004W00010003001W","00DE00010003001W",0,3,"68",244,172,,68
"004W00010003001X","00DE00010003001X",0,3,"69",245,172,,69
"004W00010003001Y","00DE00010003001Y",0,3,"70",246,172,,70
"004W00010003001Z","00DE00010003001Z",0,3,"71",247,172,,71
"004W000100030020","00DE000100030020",0,3,"72",248,172,,72
"004W000100030021","00DE000100030021",0,3,"73",249,172,,73
"004W000100030022","00DE000100030022",0,3,"74",250,172,,74
"004W000100030023","00DE000100030023",0,3,"75",251,172,,75
"004W000100030024","00DE000100030024",0,3,"76",252,172,,76
"004W000100030025","00DE000100030025",0,3,"77",253,172,,77
"004W000100030026","00DE000100030026",0,3,"78",254,172,,78
"004W000100030027","00DE000100030027",0,3,"79",255,172,,79
"004W000100030028","00DE000100030028",0,3,"80",256,172,,80
"004W000100030029","00DE000100030029",0,3,"81",257,172,,81
"004W00010003002A","00DE00010003002A",0,3,"82",258,172,,82
"004W00010003002B","00DE00010003002B",0,3,"83",259,172,,83
"004W00010003002C","00DE00010003002C",0,3,"84",260,172,,84
"004W00010003002D","00DE00010003002D",0,3,"85",261,172,,85
"004W00010003002E","00DE00010003002E",0,3,"86",262,172,,86
"004W00010003002F","00DE00010003002F",0,3,"87",263,172,,87
"004W00010003002G","00DE00010003002G",0,3,"88",264,172,,88
"004W00010003002H","00DE00010003002H",0,3,"89",265,172,,89
"004W00010003002I","00DE00010003002I",0,3,"90",266,172,,90
"004W00010003002J","00DE00010003002J",0,3,"91",267,172,,91
"004W00010003002K","00DE00010003002K",0,3,"92",268,172,,92
"004W00010003002L","00DE00010003002L",0,3,"93",269,172,,93
"004W00010003002M","00DE00010003002M",0,3,"94",270,172,,94
"004W00010004","00DE00010004",84,2,"4",271,172,,4
"004W000100040001","00DE000100040001",0,3,"1",271,172,,1
"004W000100040002","00DE000100040002",0,3,"2",272,172,,2
"004W000100040003","00DE000100040003",0,3,"3",273,172,,3
"004W000100040004","00DE000100040004",0,3,"4",274,172,,4
"004W000100040005","00DE000100040005",0,3,"5",275,172,,5
"004W000100040006","00DE000100040006",0,3,"6",276,172,,6
"004W000100040007","00DE000100040007",0,3,"7",277,172,,7
"004W000100040008","00DE000100040008",0,3,"8",278,172,,8
"004W000100040009","00DE000100040009",0,3,"9",279,172,,9
"004W00010004000A","00DE00010004000A",0,3,"10",280,172,,10
"004W00010004000B","00DE00010004000B",0,3,"11",281,172,,11
"004W00010004000C","00DE00010004000C",0,3,"12",282,172,,12
"004W00010004000D","00DE00010004000D",0,3,"13",283,172,,13
"004W00010004000E","00DE00010004000E",0,3,"14",284,172,,14
"004W00010004000F","00DE00010004000F",0,3,"15",285,172,,15
"004W00010004000G","00DE00010004000G",0,3,"16",286,172,,16
"004W00010004000H","00DE00010004000H",0,3,"17",287,172,,17
"004W00010004000I","00DE00010004000I",0,3,"18",288,172,,18
"004W00010004000J","00DE00010004000J",0,3,"19",289,172,,19
"004W00010004000K","00DE00010004000K",0,3,"20",290,172,,20
"004W00010004000L","00DE00010004000L",0,3,"21",291,172,,21
"004W00010004000M","00DE00010004000M",0,3,"22",292,172,,22
"004W00010004000N","00DE00010004000N",0,3,"23",293,172,,23
"004W00010004000O","00DE00010004000O",0,3,"24",294,172,,24
"004W00010004000P","00DE00010004000P",0,3,"25",295,172,,25
"004W00010004000Q","00DE00010004000Q",0,3,"26",296,172,,26
"004W00010004000R","00DE00010004000R",0,3,"27",297,172,,27
"004W00010004000S","00DE00010004000S",0,3,"28",298,172,,28
"004W00010004000T","00DE00010004000T",0,3,"29",299,172,,29
"004W00010004000U","00DE00010004000U",0,3,"30",300,172,,30
"004W00010004000V","00DE00010004000V",0,3,"31",301,172,,31
"004W00010004000W","00DE00010004000W",0,3,"32",302,172,,32
"004W00010004000X","00DE00010004000X",0,3,"33",303,172,,33
"004W00010004000Y","00DE00010004000Y",0,3,"34",304,172,,34
"004W00010004000Z","00DE00010004000Z",0,3,"35",305,172,,35
"004W000100040010","00DE000100040010",0,3,"36",306,172,,36
"004W000100040011","00DE000100040011",0,3,"37",307,172,,37
"004W000100040012","00DE000100040012",0,3,"38",308,172,,38
"004W000100040013","00DE000100040013",0,3,"39",309,172,,39
"004W000100040014","00DE000100040014",0,3,"40",310,172,,40
"004W000100040015","00DE000100040015",0,3,"41",311,172,,41
"004W000100040016","00DE000100040016",0,3,"42",312,172,,42
"004W000100040017","00DE000100040017",0,3,"43",313,172,,43
"004W000100040018","00DE000100040018",0,3,"44",314,172,,44
"004W000100040019","00DE000100040019",0,3,"45",315,172,,45
"004W00010004001A","00DE00010004001A",0,3,"46",316,172,,46
"004W00010004001B","00DE00010004001B",0,3,"47",317,172,,47
"004W00010004001C","00DE00010004001C",0,3,"48",318,172,,48
"004W00010004001D","00DE00010004001D",0,3,"49",319,172,,49
"004W00010004001E","00DE00010004001E",0,3,"50",320,172,,50
"004W00010004001F","00DE00010004001F",0,3,"51",321,172,,51
"004W00010004001G","00DE00010004001G",0,3,"52",322,172,,52
"004W00010004001H","00DE00010004001H",0,3,"53",323,172,,53
"004W00010004001I","00DE00010004001I",0,3,"54",324,172,,54
"004W00010004001J","00DE00010004001J",0,3,"55",325,172,,55
"004W00010004001K","00DE00010004001K",0,3,"56",326,172,,56
"004W00010004001L","00DE00010004001L",0,3,"57",327,172,,57
"004W00010004001M","00DE00010004001M",0,3,"58",328,172,,58
"004W00010004001N","00DE00010004001N",0,3,"59",329,172,,59
"004W00010004001O","00DE00010004001O",0,3,"60",330,172,,60
"004W00010004001P","00DE00010004001P",0,3,"61",331,172,,61
"004W00010004001Q","00DE00010004001Q",0,3,"62",332,172,,62
"004W00010004001R","00DE00010004001R",0,3,"63",333,172,,63
"004W00010004001S","00DE00010004001S",0,3,"64",334,172,,64
"004W00010004001T","00DE00010004001T",0,3,"65",335,172,,65
"004W00010004001U","00DE00010004001U",0,3,"66",336,172,,66
"004W00010004001V","00DE00010004001V",0,3,"67",337,172,,67
"004W00010004001W","00DE00010004001W",0,3,"68",338,172,,68
"004W00010004001X","00DE00010004001X",0,3,"69",339,172,,69
"004W00010004001Y","00DE00010004001Y",0,3,"70",340,172,,70
"004W00010004001Z","00DE00010004001Z",0,3,"71",341,172,,71
"004W000100040020","00DE000100040020",0,3,"72",342,172,,72
"004W000100040021","00DE000100040021",0,3,"73",343,172,,73
"004W000100040022","00DE000100040022",0,3,"74",344,172,,74
"004W000100040023","00DE000100040023",0,3,"75",345,172,,75
"004W000100040024","00DE000100040024",0,3,"76",346,172,,76
"004W000100040025","00DE000100040025",0,3,"77",347,172,,77
"004W000100040026","00DE000100040026",0,3,"78",348,172,,78
"004W000100040027","00DE000100040027",0,3,"79",349,172,,79
"004W000100040028","00DE000100040028",0,3,"80",350,172,,80
"004W000100040029","00DE000100040029",0,3,"81",351,172,,81
"004W00010004002A","00DE00010004002A",0,3,"82",352,172,,82
"004W00010004002B","00DE00010004002B",0,3,"83",353,172,,83
"004W00010004002C","00DE00010004002C",0,3,"84",354,172,,84
"004W00010005","00DE00010005",76,2,"5",355,172,,5
"004W000100050001","00DE000100050001",0,3,"1",355,172,,1
"004W000100050002","00DE000100050002",0,3,"2",356,172,,2
"004W000100050003","00DE000100050003",0,3,"3",357,172,,3
"004W000100050004","00DE000100050004",0,3,"4",358,172,,4
"004W000100050005","00DE000100050005",0,3,"5",359,172,,5
"004W000100050006","00DE000100050006",0,3,"6",360,172,,6
"004W000100050007","00DE000100050007",0,3,"7",361,172,,7
"004W000100050008","00DE000100050008",0,3,"8",362,172,,8
"004W000100050009","00DE000100050009",0,3,"9",363,172,,9
"004W00010005000A","00DE00010005000A",0,3,"10",364,172,,10
"004W00010005000B","00DE00010005000B",0,3,"11",365,172,,11
"004W00010005000C","00DE00010005000C",0,3,"12",366,172,,12
"004W00010005000D","00DE00010005000D",0,3,"13",367,172,,13
"004W00010005000E","00DE00010005000E",0,3,"14",368,172,,14
"004W00010005000F","00DE00010005000F",0,3,"15",369,172,,15
"004W00010005000G","00DE00010005000G",0,3,"16",370,172,,16
"004W00010005000H","00DE00010005000H",0,3,"17",371,172,,17
"004W00010005000I","00DE00010005000I",0,3,"18",372,172,,18
"004W00010005000J","00DE00010005000J",0,3,"19",373,172,,19
"004W00010005000K","00DE00010005000K",0,3,"20",374,172,,20
"004W00010005000L","00DE00010005000L",0,3,"21",375,172,,21
"004W00010005000M","00DE00010005000M",0,3,"22",376,172,,22
"004W00010005000N","00DE00010005000N",0,3,"23",377,172,,23
"004W00010005000O","00DE00010005000O",0,3,"24",378,172,,24
"004W00010005000P","00DE00010005000P",0,3,"25",379,172,,25
"004W00010005000Q","00DE00010005000Q",0,3,"26",380,172,,26
"004W00010005000R","00DE00010005000R",0,3,"27",381,172,,27
"004W00010005000S","00DE00010005000S",0,3,"28",382,172,,28
"004W00010005000T","00DE00010005000T",0,3,"29",383,172,,29
"004W00010005000U","00DE00010005000U",0,3,"30",384,172,,30
"004W00010005000V","00DE00010005000V",0,3,"31",385,172,,31
"004W00010005000W","00DE00010005000W",0,3,"32",386,172,,32
"004W00010005000X","00DE00010005000X",0,3,"33",387,172,,33
"004W00010005000Y","00DE00010005000Y",0,3,"34",388,172,,34
"004W00010005000Z","00DE00010005000Z",0,3,"35",389,172,,35
"004W000100050010","00DE000100050010",0,3,"36",390,172,,36
"004W000100050011","00DE000100050011",0,3,"37",391,172,,37
"004W000100050012","00DE000100050012",0,3,"38",392,172,,38
"004W000100050013","00DE000100050013",0,3,"39",393,172,,39
"004W000100050014","00DE000100050014",0,3,"40",394,172,,40
"004W000100050015","00DE000100050015",0,3,"41",395,172,,41
"004W000100050016","00DE000100050016",0,3,"42",396,172,,42
"004W000100050017","00DE000100050017",0,3,"43",397,172,,43
"004W000100050018","00DE000100050018",0,3,"44",398,172,,44
"004W000100050019","00DE000100050019",0,3,"45",399,172,,45
"004W00010005001A","00DE00010005001A",0,3,"46",400,172,,46
"004W00010005001B","00DE00010005001B",0,3,"47",401,172,,47
"004W00010005001C","00DE00010005001C",0,3,"48",402,172,,48
"004W00010005001D","00DE00010005001D",0,3,"49",403,172,,49
"004W00010005001E","00DE00010005001E",0,3,"50",404,172,,50
